"phip" "maxpro" "cd2" "upd" "cor1" "design" "iteration"
"randomLHD6" 0.0482520835944286 114.788099193434 2.52564127689394 0.0457627398778478 0.112555254169178 "randomLHD" 7
"maximin7" 0.0228470405523206 75.8536808876526 1.22631249668423 0.021034405178498 0.0260866653271717 "maximin" 8
"MaxPro7" 0.0269668740832222 31.8747207016301 1.26592919172319 0.0184465603298684 0.0544889826535396 "MaxPro" 8
"ud7" 0.0260960142958132 35.0302468446026 0.719459650565968 0.00878496757387576 0.0070256513294488 "ud" 8
"UniPro7" 0.032826971133471 43.5959753069804 0.915921575631828 0.00839325702000904 0.00498459580738062 "UniPro" 8
"randomLHD7" 0.0395692168141756 123.312073658613 2.13841324338953 0.0361101432679319 0.0844501372982386 "randomLHD" 8
"maximin8" 0.0228983337307881 70.5760502255501 1.21394779414457 0.0204132830907412 0.0219141383698346 "maximin" 9
"MaxPro8" 0.0274305823012685 33.986135733245 1.26060866551958 0.0197903866238067 0.0543014533520863 "MaxPro" 9
"ud8" 0.0269321096166001 40.3028256368533 0.705416664512382 0.00876718018546982 0.00715541490857947 "ud" 9
"UniPro8" 0.0302965520286984 41.9834390206241 0.905571118481285 0.00833005947537546 0.00550532449266627 "UniPro" 9
"randomLHD8" 0.0429147412841168 86.1836595367831 2.1046971428438 0.0349669090149836 0.084593295827473 "randomLHD" 9
"maximin9" 0.0236178628957322 76.2430606024763 1.37506074658804 0.0233953649127174 0.0344777643828277 "maximin" 10
"MaxPro9" 0.0295125980834644 31.9819362666357 1.28234357870871 0.0192916770814042 0.0530791641551135 "MaxPro" 10
"ud9" 0.0267396469131419 33.7460219154044 0.710388323449584 0.00890916757735442 0.00811566539414641 "ud" 10
"UniPro9" 0.0326793305773529 44.0703789149263 0.907211498881 0.00841468689933948 0.0049645033822249 "UniPro" 10
"randomLHD9" 0.0353009387849312 120.323567741537 2.40632476306506 0.0433961736285481 0.0961908110642288 "randomLHD" 10
"maximin10" 0.0228674845978441 85.6940545988006 1.2410858548648 0.0211208876352436 0.0239920300046882 "maximin" 11
"MaxPro10" 0.027870079010931 34.1262820594145 1.21806317358297 0.0185491953047422 0.0533077154912598 "MaxPro" 11
"ud10" 0.0261620035881864 34.2393003475862 0.714496641608342 0.00873771546380034 0.0055739736119483 "ud" 11
