method values ind nstep y
RSO 0.104416699839733 X3 13 0.104416699839733
RSO 0.104416699839733 X3 14 0.104416699839733
RSO 0.104416699839733 X3 15 0.104416699839733
RSO 0.104416699839733 X3 16 0.104416699839733
RSO 0.104416699839733 X3 17 0.104416699839733
RSO 0.104169472918978 X3 18 0.104169472918978
RSO 0.104169472918978 X3 19 0.104169472918978
RSO 0.104169472918978 X3 20 0.104169472918978
RSO 0.104169472918978 X3 21 0.104169472918978
RSO 0.104169472918978 X3 22 0.104169472918978
RSO 0.104169472918978 X3 23 0.104169472918978
RSO 0.104169472918978 X3 24 0.104169472918978
RSO 0.104169472918978 X3 25 0.104169472918978
RSO 0.104169472918978 X3 26 0.104169472918978
RSO 0.111227932121066 X4 1 0.111227932121066
RSO 0.110281195075563 X4 2 0.110281195075563
RSO 0.108454677213109 X4 3 0.108454677213109
RSO 0.106085437638895 X4 4 0.106085437638895
RSO 0.106085437638895 X4 5 0.106085437638895
RSO 0.106085437638895 X4 6 0.106085437638895
RSO 0.106085437638895 X4 7 0.106085437638895
RSO 0.106085437638895 X4 8 0.106085437638895
RSO 0.105869240872808 X4 9 0.105869240872808
RSO 0.105869240872808 X4 10 0.105869240872808
RSO 0.105869240872808 X4 11 0.105869240872808
RSO 0.104812957634815 X4 12 0.104812957634815
RSO 0.104812957634815 X4 13 0.104812957634815
RSO 0.104812957634815 X4 14 0.104812957634815
RSO 0.104812957634815 X4 15 0.104812957634815
RSO 0.104612513942135 X4 16 0.104612513942135
RSO 0.104612513942135 X4 17 0.104612513942135
RSO 0.104612513942135 X4 18 0.104612513942135
RSO 0.104612513942135 X4 19 0.104612513942135
RSO 0.104612513942135 X4 20 0.104612513942135
RSO 0.104503285077744 X4 21 0.104503285077744
RSO 0.104503285077744 X4 22 0.104503285077744
RSO 0.104503285077744 X4 23 0.104503285077744
RSO 0.104503285077744 X4 24 0.104503285077744
RSO 0.104503285077744 X4 25 0.104503285077744
RSO 0.104444738043771 X4 26 0.104444738043771
RSO 0.108286396989732 X5 1 0.108286396989732
RSO 0.107836992404903 X5 2 0.107836992404903
RSO 0.107836992404903 X5 3 0.107836992404903
RSO 0.107836992404903 X5 4 0.107836992404903
RSO 0.107836992404903 X5 5 0.107836992404903
RSO 0.107836992404903 X5 6 0.107836992404903
RSO 0.106751900308926 X5 7 0.106751900308926
RSO 0.106751900308926 X5 8 0.106751900308926
RSO 0.106751900308926 X5 9 0.106751900308926
RSO 0.106617256863877 X5 10 0.106617256863877
RSO 0.106617256863877 X5 11 0.106617256863877
RSO 0.106617256863877 X5 12 0.106617256863877
RSO 0.106617256863877 X5 13 0.106617256863877
RSO 0.106617256863877 X5 14 0.106617256863877
RSO 0.105154414000782 X5 15 0.105154414000782
RSO 0.105154414000782 X5 16 0.105154414000782
RSO 0.104544328067201 X5 17 0.104544328067201
RSO 0.104544328067201 X5 18 0.104544328067201
RSO 0.104544328067201 X5 19 0.104544328067201
RSO 0.104544328067201 X5 20 0.104544328067201
RSO 0.104544328067201 X5 21 0.104544328067201
RSO 0.104544328067201 X5 22 0.104544328067201
RSO 0.104544328067201 X5 23 0.104544328067201
RSO 0.104544328067201 X5 24 0.104544328067201
RSO 0.104544328067201 X5 25 0.104544328067201
RSO 0.104544328067201 X5 26 0.104544328067201
RSO 0.107623062268089 X6 1 0.107623062268089
RSO 0.10611773143938 X6 2 0.10611773143938
RSO 0.10611773143938 X6 3 0.10611773143938
RSO 0.10611773143938 X6 4 0.10611773143938
RSO 0.10611773143938 X6 5 0.10611773143938
RSO 0.10611773143938 X6 6 0.10611773143938
RSO 0.10611773143938 X6 7 0.10611773143938
RSO 0.10611773143938 X6 8 0.10611773143938
RSO 0.105411750088073 X6 9 0.105411750088073
RSO 0.105411750088073 X6 10 0.105411750088073
RSO 0.105411750088073 X6 11 0.105411750088073
RSO 0.105040504546956 X6 12 0.105040504546956
RSO 0.105040504546956 X6 13 0.105040504546956
RSO 0.104723408779038 X6 14 0.104723408779038
RSO 0.104723408779038 X6 15 0.104723408779038
RSO 0.104723408779038 X6 16 0.104723408779038
RSO 0.104309153947574 X6 17 0.104309153947574
RSO 0.104309153947574 X6 18 0.104309153947574
RSO 0.104309153947574 X6 19 0.104309153947574
RSO 0.104309153947574 X6 20 0.104309153947574
RSO 0.104309153947574 X6 21 0.104309153947574
RSO 0.104309153947574 X6 22 0.104309153947574
RSO 0.104309153947574 X6 23 0.104309153947574
RSO 0.104309153947574 X6 24 0.104309153947574
RSO 0.104309153947574 X6 25 0.104309153947574
RSO 0.104309153947574 X6 26 0.104309153947574
RSO 0.110350803260361 X7 1 0.110350803260361
RSO 0.109336424330946 X7 2 0.109336424330946
RSO 0.109336424330946 X7 3 0.109336424330946
RSO 0.109336424330946 X7 4 0.109336424330946
RSO 0.107049282068796 X7 5 0.107049282068796
RSO 0.107049282068796 X7 6 0.107049282068796
RSO 0.107049282068796 X7 7 0.107049282068796
RSO 0.105966490601518 X7 8 0.105966490601518
RSO 0.105966490601518 X7 9 0.105966490601518
RSO 0.10568421592572 X7 10 0.10568421592572
RSO 0.105110855052839 X7 11 0.105110855052839
RSO 0.105110855052839 X7 12 0.105110855052839
RSO 0.105110855052839 X7 13 0.105110855052839
RSO 0.105110855052839 X7 14 0.105110855052839
RSO 0.104608264012258 X7 15 0.104608264012258
