method values ind nstep y
RSO 0.38635510973937 X2 15 0.38635510973937
RSO 0.386086248285323 X2 16 0.386086248285323
RSO 0.386086248285323 X2 17 0.386086248285323
RSO 0.386086248285323 X2 18 0.386086248285323
RSO 0.386086248285323 X2 19 0.386086248285323
RSO 0.386086248285323 X2 20 0.386086248285323
RSO 0.386086248285323 X2 21 0.386086248285323
RSO 0.386086248285323 X2 22 0.386086248285323
RSO 0.386086248285323 X2 23 0.386086248285323
RSO 0.386086248285323 X2 24 0.386086248285323
RSO 0.386086248285323 X2 25 0.386086248285323
RSO 0.386086248285323 X2 26 0.386086248285323
RSO 0.386689814814817 X3 1 0.386689814814817
RSO 0.386689814814817 X3 2 0.386689814814817
RSO 0.386689814814817 X3 3 0.386689814814817
RSO 0.386689814814817 X3 4 0.386689814814817
RSO 0.386689814814817 X3 5 0.386689814814817
RSO 0.386689814814817 X3 6 0.386689814814817
RSO 0.386689814814817 X3 7 0.386689814814817
RSO 0.386689814814817 X3 8 0.386689814814817
RSO 0.386689814814817 X3 9 0.386689814814817
RSO 0.386689814814817 X3 10 0.386689814814817
RSO 0.386689814814817 X3 11 0.386689814814817
RSO 0.386689814814817 X3 12 0.386689814814817
RSO 0.386689814814817 X3 13 0.386689814814817
RSO 0.386689814814817 X3 14 0.386689814814817
RSO 0.385702160493827 X3 15 0.385702160493827
RSO 0.385702160493827 X3 16 0.385702160493827
RSO 0.385702160493827 X3 17 0.385702160493827
RSO 0.385702160493827 X3 18 0.385702160493827
RSO 0.385702160493827 X3 19 0.385702160493827
RSO 0.385702160493827 X3 20 0.385702160493827
RSO 0.385702160493827 X3 21 0.385702160493827
RSO 0.385702160493827 X3 22 0.385702160493827
RSO 0.385702160493827 X3 23 0.385702160493827
RSO 0.385702160493827 X3 24 0.385702160493827
RSO 0.385702160493827 X3 25 0.385702160493827
RSO 0.385702160493827 X3 26 0.385702160493827
RSO 0.385916152263378 X4 1 0.385916152263378
RSO 0.385916152263378 X4 2 0.385916152263378
RSO 0.385847565157751 X4 3 0.385847565157751
RSO 0.385847565157751 X4 4 0.385847565157751
RSO 0.385847565157751 X4 5 0.385847565157751
RSO 0.385847565157751 X4 6 0.385847565157751
RSO 0.385847565157751 X4 7 0.385847565157751
RSO 0.385847565157751 X4 8 0.385847565157751
RSO 0.385847565157751 X4 9 0.385847565157751
RSO 0.385847565157751 X4 10 0.385847565157751
RSO 0.385847565157751 X4 11 0.385847565157751
RSO 0.385847565157751 X4 12 0.385847565157751
RSO 0.385847565157751 X4 13 0.385847565157751
RSO 0.385847565157751 X4 14 0.385847565157751
RSO 0.385847565157751 X4 15 0.385847565157751
RSO 0.385847565157751 X4 16 0.385847565157751
RSO 0.385847565157751 X4 17 0.385847565157751
RSO 0.385847565157751 X4 18 0.385847565157751
RSO 0.385847565157751 X4 19 0.385847565157751
RSO 0.385847565157751 X4 20 0.385847565157751
RSO 0.385847565157751 X4 21 0.385847565157751
RSO 0.385847565157751 X4 22 0.385847565157751
RSO 0.385847565157751 X4 23 0.385847565157751
RSO 0.385847565157751 X4 24 0.385847565157751
RSO 0.385847565157751 X4 25 0.385847565157751
RSO 0.385847565157751 X4 26 0.385847565157751
RSO 0.384909293552817 X5 1 0.384909293552817
RSO 0.384909293552817 X5 2 0.384909293552817
RSO 0.384909293552817 X5 3 0.384909293552817
RSO 0.384909293552817 X5 4 0.384909293552817
RSO 0.384909293552817 X5 5 0.384909293552817
RSO 0.384909293552817 X5 6 0.384909293552817
RSO 0.384909293552817 X5 7 0.384909293552817
RSO 0.384909293552817 X5 8 0.384909293552817
RSO 0.384909293552817 X5 9 0.384909293552817
RSO 0.384909293552817 X5 10 0.384909293552817
RSO 0.384909293552817 X5 11 0.384909293552817
RSO 0.384909293552817 X5 12 0.384909293552817
RSO 0.384909293552817 X5 13 0.384909293552817
RSO 0.384909293552817 X5 14 0.384909293552817
RSO 0.384909293552817 X5 15 0.384909293552817
RSO 0.384909293552817 X5 16 0.384909293552817
RSO 0.384909293552817 X5 17 0.384909293552817
RSO 0.384909293552817 X5 18 0.384909293552817
RSO 0.384909293552817 X5 19 0.384909293552817
RSO 0.384909293552817 X5 20 0.384909293552817
RSO 0.384909293552817 X5 21 0.384909293552817
RSO 0.384909293552817 X5 22 0.384909293552817
RSO 0.384909293552817 X5 23 0.384909293552817
